qfix, qfluct,cost,p,time,colapso
0.4,0.2,5,0,9.1,colapso
0.4,0.2,5,0,101.6,no colapso
0.4,0.2,5,0.01,11.5,colapso
0.4,0.2,5,0.01,203.3,no colapso
0.4,0.2,5,0.02,11.3,colapso
0.4,0.2,5,0.02,215.2,no colapso
0.4,0.2,5,0.03,11.5,colapso
0.4,0.2,5,0.03,214.9,no colapso
0.4,0.2,5,0.04,11.4,colapso
0.4,0.2,5,0.04,201.3,no colapso
0.4,0.2,5,0.05,11,colapso
0.4,0.2,5,0.05,132.7,no colapso
0.4,0.2,5,0.06,11.8,colapso
0.4,0.2,5,0.06,225.7,no colapso
0.4,0.2,5,0.07,12,colapso
0.4,0.2,5,0.07,256.4,no colapso
0.4,0.2,5,0.08,12.2,colapso
0.4,0.2,5,0.08,236.5,no colapso
0.4,0.2,5,0.09,12,colapso
0.4,0.2,5,0.09,229.8,no colapso
0.4,0.2,5,0.1,11.2,colapso
0.4,0.2,5,0.1,133.5,no colapso
0.4,0.2,5,0.11,12,colapso
0.4,0.2,5,0.11,214.8,no colapso
0.4,0.2,5,0.12,12,colapso
0.4,0.2,5,0.12,248.9,no colapso
0.4,0.2,5,0.13,12,colapso
0.4,0.2,5,0.13,234.4,no colapso
0.4,0.2,5,0.14,12,colapso
0.4,0.2,5,0.14,296.5,no colapso
0.4,0.2,5,0.15,12,colapso
0.4,0.2,5,0.15,144.2,no colapso
0.4,0.2,5,0.16,12,colapso
0.4,0.2,5,0.16,259.7,no colapso
0.4,0.2,5,0.17,12,colapso
0.4,0.2,5,0.17,232.3,no colapso
0.4,0.2,5,0.18,12,colapso
0.4,0.2,5,0.18,268.5,no colapso
0.4,0.2,5,0.19,12.4,colapso
0.4,0.2,5,0.19,340,no colapso
0.4,0.2,5,0.2,12,colapso
0.4,0.2,5,0.2,138.1,no colapso
0.4,0.2,5,0.21,12.5,colapso
0.4,0.2,5,0.21,328.4,no colapso
0.4,0.2,5,0.22,12.9,colapso
0.4,0.2,5,0.22,321.6,no colapso
0.4,0.2,5,0.23,12.6,colapso
0.4,0.2,5,0.23,332.8,no colapso
0.4,0.2,5,0.24,12.7,colapso
0.4,0.2,5,0.24,342.7,no colapso
0.4,0.2,5,0.25,12.7,colapso
0.4,0.2,5,0.25,162,no colapso
0.4,0.2,5,0.26,13,colapso
0.4,0.2,5,0.26,321.7,no colapso
0.4,0.2,5,0.27,13,colapso
0.4,0.2,5,0.27,293.1,no colapso
0.4,0.2,5,0.28,13,colapso
0.4,0.2,5,0.28,363.1,no colapso
0.4,0.2,5,0.29,13,colapso
0.4,0.2,5,0.29,316.6,no colapso
0.4,0.2,5,0.3,13,colapso
0.4,0.2,5,0.3,165.2,no colapso
0.4,0.2,5,0.31,13,colapso
0.4,0.2,5,0.31,266.8,no colapso
0.4,0.2,5,0.32,13,colapso
0.4,0.2,5,0.32,167.3,no colapso
0.4,0.2,5,0.33,12.9,colapso
0.4,0.2,5,0.33,169.1,no colapso
