qfix, qfluct, l,p,dof,time,method
0.1,0.4,10,0,4.505,165,pg
0.1,0.4,10,0,4.505,60,vpg
0.1,0.4,10,0.01,4.4372,184,pg
0.1,0.4,10,0.01,4.44344,78,vpg
0.1,0.4,10,0.02,4.38553,217,pg
0.1,0.4,10,0.02,4.38189,79,vpg
0.1,0.4,10,0.03,4.3218,243,pg
0.1,0.4,10,0.03,4.32036,69,vpg
0.1,0.4,10,0.04,4.2499,258,pg
0.1,0.4,10,0.04,4.25882,70,vpg
0.1,0.4,10,0.05,4.19307,299,pg
0.1,0.4,10,0.05,4.19725,71,vpg
0.1,0.4,10,0.06,4.13883,319,pg
0.1,0.4,10,0.06,4.13568,70,vpg
0.1,0.4,10,0.07,4.07793,356,pg
0.1,0.4,10,0.07,4.07414,77,vpg
0.1,0.4,10,0.08,4.0138,389,pg
0.1,0.4,10,0.08,4.01261,75,vpg
0.1,0.4,10,0.09,3.96953,408,pg
0.1,0.4,10,0.09,3.95107,71,vpg
0.1,0.4,10,0.1,3.88877,433,pg
0.1,0.4,10,0.1,3.8895,74,vpg
0.1,0.4,10,0.11,3.81177,496,pg
0.1,0.4,10,0.11,3.82793,80,vpg
0.1,0.4,10,0.12,3.7741,507,pg
0.1,0.4,10,0.12,3.76639,82,vpg
0.1,0.4,10,0.13,3.70367,550,pg
0.1,0.4,10,0.13,3.70486,78,vpg
0.1,0.4,10,0.14,3.65137,572,pg
0.1,0.4,10,0.14,3.64331,82,vpg
0.1,0.4,10,0.15,3.58923,604,pg
0.1,0.4,10,0.15,3.58175,86,vpg
0.1,0.4,10,0.16,3.5303,657,pg
0.1,0.4,10,0.16,3.52019,85,vpg
0.1,0.4,10,0.17,3.45417,697,pg
0.1,0.4,10,0.17,3.45864,85,vpg
0.1,0.4,10,0.18,3.41233,729,pg
0.1,0.4,10,0.18,3.39711,79,vpg
0.1,0.4,10,0.19,3.33647,805,pg
0.1,0.4,10,0.19,3.33556,84,vpg
0.1,0.4,10,0.2,3.28763,827,pg
0.1,0.4,10,0.2,3.274,81,vpg
0.1,0.4,10,0.21,3.2406,851,pg
0.1,0.4,10,0.21,3.21244,101,vpg
0.1,0.4,10,0.22,3.1576,939,pg
0.1,0.4,10,0.22,3.1509,103,vpg
0.1,0.4,10,0.23,3.0977,982,pg
0.1,0.4,10,0.23,3.08935,98,vpg
0.1,0.4,10,0.24,3.0432,1030,pg
0.1,0.4,10,0.24,3.02781,99,vpg
0.1,0.4,10,0.25,2.97617,1096,pg
0.1,0.4,10,0.25,2.96625,98,vpg
0.1,0.4,10,0.26,2.9352,1146,pg
0.1,0.4,10,0.26,2.90469,100,vpg
0.1,0.4,10,0.27,2.86,1207,pg
0.1,0.4,10,0.27,2.84315,104,vpg
0.1,0.4,10,0.28,2.797,1287,pg
0.1,0.4,10,0.28,2.7816,101,vpg
0.1,0.4,10,0.29,2.74037,1364,pg
0.1,0.4,10,0.29,2.72005,103,vpg
0.1,0.4,10,0.3,2.6807,1452,pg
0.1,0.4,10,0.3,2.6585,99,vpg
0.1,0.4,10,0.31,2.6087,1564,pg
0.1,0.4,10,0.31,2.59695,106,vpg
0.1,0.4,10,0.32,2.55657,1616,pg
0.1,0.4,10,0.32,2.5354,101,vpg
0.1,0.4,10,0.33,2.49103,1720,pg
0.1,0.4,10,0.33,2.47385,104,vpg
0.1,0.4,10,0.34,2.44503,1813,pg
0.1,0.4,10,0.34,2.4123,110,vpg
0.1,0.4,10,0.35,2.3627,1927,pg
0.1,0.4,10,0.35,2.35075,107,vpg
0.1,0.4,10,0.36,2.3066,2061,pg
0.1,0.4,10,0.36,2.2892,111,vpg
0.1,0.4,10,0.37,2.27733,2104,pg
0.1,0.4,10,0.37,2.22765,107,vpg
0.1,0.4,10,0.38,2.18427,2303,pg
0.1,0.4,10,0.38,2.1661,118,vpg
0.1,0.4,10,0.39,2.12113,2580,pg
0.1,0.4,10,0.39,2.10455,111,vpg
0.1,0.4,10,0.4,2.08913,2588,pg
0.1,0.4,10,0.4,2.043,114,vpg
0.1,0.4,10,0.41,1.98863,2899,pg
