qfix, qfluct,l,p,dof,time,method
0,0.4,5,0,6,0,pg
0,0.4,5,0,6,1,vpg
0,0.4,5,0.01,5.94267,0,pg
0,0.4,5,0.01,5.942,1,vpg
0,0.4,5,0.02,5.888,0,pg
0,0.4,5,0.02,5.884,1,vpg
0,0.4,5,0.03,5.83867,0,pg
0,0.4,5,0.03,5.826,1,vpg
0,0.4,5,0.04,5.76267,0,pg
0,0.4,5,0.04,5.768,1,vpg
0,0.4,5,0.05,5.72667,0,pg
0,0.4,5,0.05,5.71,1,vpg
0,0.4,5,0.06,5.69333,0,pg
0,0.4,5,0.06,5.652,1,vpg
0,0.4,5,0.07,5.6,0,pg
0,0.4,5,0.07,5.594,1,vpg
0,0.4,5,0.08,5.53867,0,pg
0,0.4,5,0.08,5.536,1,vpg
0,0.4,5,0.09,5.45733,0,pg
0,0.4,5,0.09,5.478,1,vpg
0,0.4,5,0.1,5.396,0,pg
0,0.4,5,0.1,5.42,1,vpg
0,0.4,5,0.11,5.36667,0,pg
0,0.4,5,0.11,5.362,1,vpg
0,0.4,5,0.12,5.308,0,pg
0,0.4,5,0.12,5.304,1,vpg
0,0.4,5,0.13,5.236,0,pg
0,0.4,5,0.13,5.246,1,vpg
0,0.4,5,0.14,5.22,0,pg
0,0.4,5,0.14,5.188,1,vpg
0,0.4,5,0.15,5.25333,0,pg
0,0.4,5,0.15,5.13,1,vpg
0,0.4,5,0.16,5.10667,0,pg
0,0.4,5,0.16,5.072,1,vpg
0,0.4,5,0.17,4.96133,0,pg
0,0.4,5,0.17,5.014,1,vpg
0,0.4,5,0.18,5.02133,0,pg
0,0.4,5,0.18,4.956,1,vpg
0,0.4,5,0.19,4.88133,0,pg
0,0.4,5,0.19,4.898,1,vpg
0,0.4,5,0.2,4.79733,0,pg
0,0.4,5,0.2,4.84,1,vpg
0,0.4,5,0.21,4.804,0,pg
0,0.4,5,0.21,4.782,1,vpg
0,0.4,5,0.22,4.74933,0,pg
0,0.4,5,0.22,4.724,1,vpg
0,0.4,5,0.23,4.70827,0,pg
0,0.4,5,0.23,4.666,1,vpg
0,0.4,5,0.24,4.60053,0,pg
0,0.4,5,0.24,4.608,1,vpg
0,0.4,5,0.25,4.54933,0,pg
0,0.4,5,0.25,4.55,1,vpg
0,0.4,5,0.26,4.46933,0,pg
