qfix, qfluct,cost,p,time,colapso
0.2,0.3,5,0,3,colapso
0.2,0.3,5,0,3,no colapso
0.2,0.3,5,0.01,4,colapso
0.2,0.3,5,0.01,4,no colapso
0.2,0.3,5,0.02,4,colapso
0.2,0.3,5,0.02,4,no colapso
0.2,0.3,5,0.03,4,colapso
0.2,0.3,5,0.03,4,no colapso
0.2,0.3,5,0.04,4,colapso
0.2,0.3,5,0.04,4,no colapso
0.2,0.3,5,0.05,4,colapso
0.2,0.3,5,0.05,4,no colapso
0.2,0.3,5,0.06,4,colapso
0.2,0.3,5,0.06,4,no colapso
0.2,0.3,5,0.07,4,colapso
0.2,0.3,5,0.07,4,no colapso
0.2,0.3,5,0.08,4,colapso
0.2,0.3,5,0.08,4,no colapso
0.2,0.3,5,0.09,4.1,colapso
0.2,0.3,5,0.09,4,no colapso
0.2,0.3,5,0.1,4.1,colapso
0.2,0.3,5,0.1,4,no colapso
0.2,0.3,5,0.11,4.2,colapso
0.2,0.3,5,0.11,4.1,no colapso
0.2,0.3,5,0.12,4.1,colapso
0.2,0.3,5,0.12,4.3,no colapso
0.2,0.3,5,0.13,4.1,colapso
0.2,0.3,5,0.13,4.3,no colapso
0.2,0.3,5,0.14,5,colapso
0.2,0.3,5,0.14,5,no colapso
0.2,0.3,5,0.15,4.9,colapso
0.2,0.3,5,0.15,5,no colapso
0.2,0.3,5,0.16,5,colapso
0.2,0.3,5,0.16,5,no colapso
0.2,0.3,5,0.17,5,colapso
0.2,0.3,5,0.17,5,no colapso
0.2,0.3,5,0.18,6.1,colapso
0.2,0.3,5,0.18,5,no colapso
0.2,0.3,5,0.19,5,colapso
0.2,0.3,5,0.19,5,no colapso
0.2,0.3,5,0.2,5,colapso
0.2,0.3,5,0.2,5,no colapso
0.2,0.3,5,0.21,6,colapso
0.2,0.3,5,0.21,6.2,no colapso
0.2,0.3,5,0.22,6.2,colapso
0.2,0.3,5,0.22,6.2,no colapso
0.2,0.3,5,0.23,6.3,colapso
0.2,0.3,5,0.23,6.8,no colapso
0.2,0.3,5,0.24,6,colapso
0.2,0.3,5,0.24,6.1,no colapso
0.2,0.3,5,0.25,6,colapso
