qfix, qfluct, l,p,dof,time,method
0.4,0.2,5,0,0.504,217,pg
0.4,0.2,5,0,0.504,10,vpg
0.4,0.2,5,0.01,0.495733,217,pg
0.4,0.2,5,0.01,0.484,11,vpg
0.4,0.2,5,0.02,0.488,214,pg
0.4,0.2,5,0.02,0.464,11,vpg
0.4,0.2,5,0.03,0.4768,227,pg
0.4,0.2,5,0.03,0.444,11,vpg
0.4,0.2,5,0.04,0.4712,230,pg
0.4,0.2,5,0.04,0.424,12,vpg
0.4,0.2,5,0.05,0.470667,227,pg
0.4,0.2,5,0.05,0.404,11,vpg
0.4,0.2,5,0.06,0.458933,230,pg
0.4,0.2,5,0.06,0.384,11,vpg
0.4,0.2,5,0.07,0.4488,245,pg
0.4,0.2,5,0.07,0.364,11,vpg
0.4,0.2,5,0.08,0.444,239,pg
0.4,0.2,5,0.08,0.344,11,vpg
0.4,0.2,5,0.09,0.4408,240,pg
0.4,0.2,5,0.09,0.324,11,vpg
0.4,0.2,5,0.1,0.425333,254,pg
0.4,0.2,5,0.1,0.304,11,vpg
0.4,0.2,5,0.11,0.425067,249,pg
0.4,0.2,5,0.11,0.2896,15,vpg
0.4,0.2,5,0.12,0.4168,260,pg
0.4,0.2,5,0.12,0.2752,12,vpg
0.4,0.2,5,0.13,0.4128,253,pg
0.4,0.2,5,0.13,0.2608,13,vpg
0.4,0.2,5,0.14,0.413333,269,pg
0.4,0.2,5,0.14,0.2472,13,vpg
0.4,0.2,5,0.15,0.391733,268,pg
0.4,0.2,5,0.15,0.234,13,vpg
0.4,0.2,5,0.16,0.3848,269,pg
0.4,0.2,5,0.16,0.2224,14,vpg
0.4,0.2,5,0.17,0.388533,266,pg
0.4,0.2,5,0.17,0.2124,14,vpg
0.4,0.2,5,0.18,0.363733,275,pg
0.4,0.2,5,0.18,0.2056,13,vpg
0.4,0.2,5,0.19,0.366133,269,pg
0.4,0.2,5,0.19,0.1988,13,vpg
0.4,0.2,5,0.2,0.368267,273,pg
0.4,0.2,5,0.2,0.192,13,vpg
0.4,0.2,5,0.21,0.362667,274,pg
0.4,0.2,5,0.21,0.1904,14,vpg
0.4,0.2,5,0.22,0.363733,273,pg
0.4,0.2,5,0.22,0.1888,14,vpg
0.4,0.2,5,0.23,0.351467,277,pg
0.4,0.2,5,0.23,0.1872,14,vpg
0.4,0.2,5,0.24,0.340267,283,pg
0.4,0.2,5,0.24,0.1856,14,vpg
0.4,0.2,5,0.25,0.346933,276,pg
0.4,0.2,5,0.25,0.184,13,vpg
0.4,0.2,5,0.26,0.3296,267,pg
0.4,0.2,5,0.26,0.1824,13,vpg
0.4,0.2,5,0.27,0.32,287,pg
0.4,0.2,5,0.27,0.1808,14,vpg
0.4,0.2,5,0.28,0.332,279,pg
0.4,0.2,5,0.28,0.1792,12,vpg
0.4,0.2,5,0.29,0.321867,271,pg
0.4,0.2,5,0.29,0.1776,13,vpg
0.4,0.2,5,0.3,0.308267,276,pg
0.4,0.2,5,0.3,0.176,14,vpg
0.4,0.2,5,0.31,0.2992,291,pg
0.4,0.2,5,0.31,0.1744,13,vpg
0.4,0.2,5,0.32,0.313333,284,pg
0.4,0.2,5,0.32,0.1728,13,vpg
0.4,0.2,5,0.33,0.297067,279,pg
0.4,0.2,5,0.33,0.1712,13,vpg
0.4,0.2,5,0.34,0.302933,289,pg
0.4,0.2,5,0.34,0.1696,12,vpg
0.4,0.2,5,0.35,0.2944,272,pg
0.4,0.2,5,0.35,0.168,13,vpg
0.4,0.2,5,0.36,0.2856,301,pg
0.4,0.2,5,0.36,0.1664,13,vpg
0.4,0.2,5,0.37,0.2832,291,pg
0.4,0.2,5,0.37,0.1648,14,vpg
0.4,0.2,5,0.38,0.2848,286,pg
0.4,0.2,5,0.38,0.1632,12,vpg
0.4,0.2,5,0.39,0.268,295,pg
0.4,0.2,5,0.39,0.1616,13,vpg
0.4,0.2,5,0.4,0.269867,299,pg
0.4,0.2,5,0.4,0.16,13,vpg
0.4,0.2,5,0.41,0.270133,292,pg
0.4,0.2,5,0.41,0.1588,12,vpg
0.4,0.2,5,0.42,0.258667,291,pg
0.4,0.2,5,0.42,0.1576,12,vpg
0.4,0.2,5,0.43,0.2608,288,pg
0.4,0.2,5,0.43,0.1564,12,vpg
0.4,0.2,5,0.44,0.2616,302,pg
0.4,0.2,5,0.44,0.1552,12,vpg
0.4,0.2,5,0.45,0.248,280,pg
0.4,0.2,5,0.45,0.154,12,vpg
0.4,0.2,5,0.46,0.245333,296,pg
0.4,0.2,5,0.46,0.1528,13,vpg
0.4,0.2,5,0.47,0.2352,294,pg
0.4,0.2,5,0.47,0.1516,12,vpg
0.4,0.2,5,0.48,0.240267,299,pg
0.4,0.2,5,0.48,0.1504,12,vpg
0.4,0.2,5,0.49,0.253333,290,pg
0.4,0.2,5,0.49,0.1492,12,vpg
0.4,0.2,5,0.5,0.227467,299,pg
0.4,0.2,5,0.5,0.148,12,vpg
0.4,0.2,5,0.51,0.218133,309,pg
0.4,0.2,5,0.51,0.1468,12,vpg
0.4,0.2,5,0.52,0.218133,302,pg
0.4,0.2,5,0.52,0.1456,12,vpg
0.4,0.2,5,0.53,0.2296,293,pg
0.4,0.2,5,0.53,0.1444,12,vpg
0.4,0.2,5,0.54,0.215733,317,pg
0.4,0.2,5,0.54,0.1432,13,vpg
0.4,0.2,5,0.55,0.2192,307,pg
0.4,0.2,5,0.55,0.142,12,vpg
0.4,0.2,5,0.56,0.213333,319,pg
0.4,0.2,5,0.56,0.1408,12,vpg
0.4,0.2,5,0.57,0.22,302,pg
0.4,0.2,5,0.57,0.1396,12,vpg
0.4,0.2,5,0.58,0.209867,322,pg
0.4,0.2,5,0.58,0.1384,13,vpg
0.4,0.2,5,0.59,0.210933,317,pg
0.4,0.2,5,0.59,0.1372,12,vpg
0.4,0.2,5,0.6,0.1992,309,pg
0.4,0.2,5,0.6,0.136,12,vpg
0.4,0.2,5,0.61,0.199467,353,pg
0.4,0.2,5,0.61,0.1356,12,vpg
